"raw","day","dd.mm","home.team","away.team","home.score","away.score"
"  Montreal Impact         2-1  FC Dallas","Sat","23.05","Montreal Impact","FC Dallas",2,1
"  Colorado Rapids         1-0  Vancouver Whitecaps FC","Sat","23.05","Colorado Rapids","Vancouver Whitecaps FC",1,0
"  Real Salt Lake          2-0  New York City FC","Sat","23.05","Real Salt Lake","New York City FC",2,0
"  Seattle Sounders FC     0-0  Sporting Kansas City","Sat","23.05","Seattle Sounders FC","Sporting Kansas City",0,0
"  New York Red Bulls      0-2  Philadelphia Union","Sun","24.05","New York Red Bulls","Philadelphia Union",0,2
"  San Jose Earthquakes    1-1  Orlando City SC","Sun","24.05","San Jose Earthquakes","Orlando City SC",1,1
"  Seattle Sounders FC     1-0  Colorado Rapids","Wed","27.05","Seattle Sounders FC","Colorado Rapids",1,0
"  LA Galaxy               1-0  Real Salt Lake","Wed","27.05","LA Galaxy","Real Salt Lake",1,0
"  Portland Timbers        1-0  D.C. United ","Wed","27.05","Portland Timbers","D.C. United",1,0
"  Sporting Kansas City    4-0  FC Dallas","Fri","29.05","Sporting Kansas City","FC Dallas",4,0
"  Toronto FC              3-1  San Jose Earthquakes","Sat","30.05","Toronto FC","San Jose Earthquakes",3,1
"  Vancouver Whitecaps FC  2-1  Real Salt Lake","Sat","30.05","Vancouver Whitecaps FC","Real Salt Lake",2,1
"  D.C. United             2-1  Philadelphia Union","Sat","30.05","D.C. United","Philadelphia Union",2,1
"  New York City FC        1-1  Houston Dynamo","Sat","30.05","New York City FC","Houston Dynamo",1,1
"  Orlando City SC         2-2  Columbus Crew SC","Sat","30.05","Orlando City SC","Columbus Crew SC",2,2
"  Chicago Fire            3-0  Montreal Impact","Sat","30.05","Chicago Fire","Montreal Impact",3,0
"  Colorado Rapids         1-2  Portland Timbers","Sat","30.05","Colorado Rapids","Portland Timbers",1,2
"  Seattle Sounders FC     2-1  New York Red Bulls","Sun","31.05","Seattle Sounders FC","New York Red Bulls",2,1
"  New England Revolution  2-2  LA Galaxy","Sun","31.05","New England Revolution","LA Galaxy",2,2
"  Philadelphia Union      3-0  Columbus Crew SC","Wed","03.06","Philadelphia Union","Columbus Crew SC",3,0
"  D.C. United             3-1  Chicago Fire","Wed","03.06","D.C. United","Chicago Fire",3,1
"  Montreal Impact         2-1  Vancouver Whitecaps FC","Wed","03.06","Montreal Impact","Vancouver Whitecaps FC",2,1
"  Houston Dynamo          4-2  New York Red Bulls","Fri","05.06","Houston Dynamo","New York Red Bulls",4,2
"  D.C. United             1-2  Toronto FC","Sat","06.06","D.C. United","Toronto FC",1,2
"  Philadelphia Union      1-2  New York City FC","Sat","06.06","Philadelphia Union","New York City FC",1,2
"  Columbus Crew SC        1-2  Montreal Impact","Sat","06.06","Columbus Crew SC","Montreal Impact",1,2
"  Chicago Fire            2-3  Orlando City SC","Sat","06.06","Chicago Fire","Orlando City SC",2,3
"  Sporting Kansas City    1-0  Seattle Sounders FC","Sat","06.06","Sporting Kansas City","Seattle Sounders FC",1,0
"  Portland Timbers        2-0  New England Revolution","Sat","06.06","Portland Timbers","New England Revolution",2,0
"  LA Galaxy               0-1  Vancouver Whitecaps FC","Sat","06.06","LA Galaxy","Vancouver Whitecaps FC",0,1
"  Real Salt Lake          0-0  Colorado Rapids","Sun","07.06","Real Salt Lake","Colorado Rapids",0,0
